p0x,p0y,p0z,p0xq,p0yq,p0zq,p0wq,hA0x,hA0y,hA0z,hA0xq,hA0yq,hA0zq,hA0wq,t0x,t0y,t0z,t0xq,t0yq,t0zq,t0wq,t0xv,t0yv,t0zv,t0ct,t0run,t1x,t1y,t1z,t1xq,t1yq,t1zq,t1wq,t1xv,t1yv,t1zv,t1ct,t1run,t2x,t2y,t2z,t2xq,t2yq,t2zq,t2wq,t2xv,t2yv,t2zv,t2ct,t2run,t3x,t3y,t3z,t3xq,t3yq,t3zq,t3wq,t3xv,t3yv,t3zv,t3ct,t3run,t4x,t4y,t4z,t4xq,t4yq,t4zq,t4wq,t4xv,t4yv,t4zv,t4ct,t4run,cZxpos,cZy,cZz,time
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.3613005,0,0.9324495,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.612017E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.612017E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.608521E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.612017E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.608521E-22,False,False,0,0.2,0,3.093439
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.3613005,0,0.9324495,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.608316E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.608057E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.604699E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.608057E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.604957E-22,False,False,0,0.2,0,3.113439
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.7995664,0,0.6005778,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.59429E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.593774E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.590552E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.594033E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.590551E-22,False,False,0,0.2,0,3.133439
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.9248174,0,0.3804114,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.580062E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.579548E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.576463E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.580064E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.575945E-22,False,False,0,0.2,0,3.153439
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.9746835,0,0.2235893,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.565891E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.565896E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.562429E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.56641E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.562172E-22,False,False,0,0.2,0,3.173439
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.9920951,0,0.1254885,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.552035E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.551782E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.547935E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.552293E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.547678E-22,False,False,0,0.2,0,3.193439
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.9980096,0,0.06306237,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.537976E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.537724E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.534015E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.53875E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.534019E-22,False,False,0,0.2,0,3.213439
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.9997441,0,0.02262511,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.523974E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.523722E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.520152E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.524745E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.519638E-22,False,False,0,0.2,0,3.233439
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.9999914,0,-0.004155503,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.510027E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.509777E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.506343E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.511312E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.50609E-22,False,False,0,0.2,0,3.253439
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.9997532,0,-0.02221873,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.496136E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.495887E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.492073E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.497416E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.491821E-22,False,False,0,0.2,0,3.273439
