trial_id,cond_info,trial_length,num_players,num_herder_agents,num_targets,num_obstacles,p1_x,p1_z,p1_ang,t1_x,t1_z
1,NA999,60,1,0,1,0,7.427021387,13.58599213,165.1071677,12.37087304,-10.43285237
2,NA999,60,1,0,1,0,17.60073296,17.92951574,100.1088023,35.84415051,4.697130885
3,NA999,60,1,0,1,0,-28.49805512,3.259585054,-22.3335391,-2.064038431,-28.71459464
4,NA999,60,1,0,1,0,-23.76051645,14.38794895,75.66472731,-1.287148026,26.83115528
5,NA999,60,1,0,1,0,29.81538066,10.6421863,20.04716433,-17.33406585,11.04197262
