time,TrialID,numTargs,HA0_engagement,HA1_engagement
311.2027,4.0,3.0,-1,-1
311.2227,4.0,3.0,-1,-1
311.2427,4.0,3.0,-1,-1
311.2627,4.0,3.0,-1,-1
311.2827,4.0,3.0,-1,-1
311.3027,4.0,3.0,-1,-1
311.3227,4.0,3.0,-1,-1
311.3427,4.0,3.0,-1,-1
311.3627,4.0,3.0,-1,-1
311.3827,4.0,3.0,-1,-1
311.4027,4.0,3.0,-1,-1
311.4227,4.0,3.0,-1,-1
311.4427,4.0,3.0,-1,-1
311.4627,4.0,3.0,-1,-1
311.4827,4.0,3.0,-1,-1
311.5027,4.0,3.0,-1,-1
311.5227,4.0,3.0,-1,-1
311.5427,4.0,3.0,-1,-1
311.5627,4.0,3.0,-1,-1
311.5827,4.0,3.0,-1,-1
311.6027,4.0,3.0,-1,-1
311.6227,4.0,3.0,-1,-1
311.6427,4.0,3.0,-1,-1
311.6627,4.0,3.0,-1,-1
311.6827,4.0,3.0,-1,-1
311.7027,4.0,3.0,-1,-1
311.7227,4.0,3.0,-1,-1
311.7427,4.0,3.0,-1,-1
311.7627,4.0,3.0,-1,-1
311.7827,4.0,3.0,-1,-1
311.8027,4.0,3.0,-1,-1
311.8227,4.0,3.0,-1,-1
311.8427,4.0,3.0,-1,-1
311.8627,4.0,3.0,-1,-1
311.8827,4.0,3.0,-1,-1
311.9027,4.0,3.0,-1,-1
311.9227,4.0,3.0,-1,-1
311.9427,4.0,3.0,-1,-1
311.9627,4.0,3.0,-1,-1
311.9827,4.0,3.0,-1,-1
312.0027,4.0,3.0,-1,-1
312.0227,4.0,3.0,-1,-1
312.0427,4.0,3.0,-1,-1
312.0627,4.0,3.0,-1,-1
312.0827,4.0,3.0,-1,-1
312.1027,4.0,3.0,-1,-1
312.1227,4.0,3.0,-1,-1
312.1427,4.0,3.0,-1,-1
312.1627,4.0,3.0,-1,-1
312.1827,4.0,3.0,-1,-1
312.2027,4.0,3.0,-1,-1
312.2227,4.0,3.0,-1,-1
312.2427,4.0,3.0,-1,-1
312.2627,4.0,3.0,-1,-1
312.2827,4.0,3.0,-1,-1
312.3027,4.0,3.0,-1,-1
312.3227,4.0,3.0,-1,-1
312.3427,4.0,3.0,-1,-1
312.3627,4.0,3.0,-1,-1
312.3827,4.0,3.0,-1,-1
312.4027,4.0,3.0,-1,-1
312.4227,4.0,3.0,-1,-1
312.4427,4.0,3.0,-1,-1
312.4627,4.0,3.0,-1,-1
312.4827,4.0,3.0,-1,-1
312.5027,4.0,3.0,-1,-1
312.5227,4.0,3.0,-1,-1
312.5427,4.0,3.0,-1,-1
312.5627,4.0,3.0,-1,-1
312.5827,4.0,3.0,-1,-1
312.6027,4.0,3.0,-1,-1
312.6227,4.0,3.0,-1,-1
312.6427,4.0,3.0,-1,-1
312.6627,4.0,3.0,-1,-1
312.6827,4.0,3.0,-1,-1
312.7027,4.0,3.0,-1,-1
312.7227,4.0,3.0,-1,-1
312.7427,4.0,3.0,-1,-1
312.7627,4.0,3.0,-1,-1
312.7827,4.0,3.0,-1,-1
312.8027,4.0,3.0,-1,-1
312.8227,4.0,3.0,-1,-1
312.8427,4.0,3.0,-1,-1
312.8627,4.0,3.0,-1,-1
312.8827,4.0,3.0,-1,-1
312.9027,4.0,3.0,-1,-1
312.9227,4.0,3.0,-1,-1
312.9427,4.0,3.0,-1,-1
312.9627,4.0,3.0,-1,-1
312.9827,4.0,3.0,-1,-1
313.0027,4.0,3.0,-1,-1
313.0227,4.0,3.0,-1,-1
313.0427,4.0,3.0,-1,-1
313.0627,4.0,3.0,-1,-1
313.0827,4.0,3.0,-1,-1
313.1027,4.0,3.0,-1,-1
313.1227,4.0,3.0,-1,-1
313.1427,4.0,3.0,-1,-1
313.1627,4.0,3.0,-1,-1
313.1827,4.0,3.0,-1,-1
313.2027,4.0,3.0,-1,-1
313.2227,4.0,3.0,-1,-1
313.2427,4.0,3.0,-1,-1
313.2627,4.0,3.0,-1,-1
313.2827,4.0,3.0,-1,-1
313.3027,4.0,3.0,-1,-1
313.3227,4.0,3.0,-1,-1
313.3427,4.0,3.0,-1,-1
313.3627,4.0,3.0,-1,-1
313.3827,4.0,3.0,-1,-1
313.4027,4.0,3.0,-1,-1
313.4227,4.0,3.0,-1,-1
313.4427,4.0,3.0,-1,-1
313.4627,4.0,3.0,-1,-1
313.4827,4.0,3.0,-1,-1
313.5027,4.0,3.0,-1,-1
313.5227,4.0,3.0,-1,-1
313.5427,4.0,3.0,-1,-1
313.5627,4.0,3.0,-1,-1
313.5827,4.0,3.0,-1,-1
313.6027,4.0,3.0,-1,-1
313.6227,4.0,3.0,-1,-1
313.6427,4.0,3.0,-1,-1
313.6627,4.0,3.0,-1,-1
313.6827,4.0,3.0,-1,-1
313.7027,4.0,3.0,-1,-1
313.7227,4.0,3.0,-1,-1
313.7427,4.0,3.0,-1,-1
313.7627,4.0,3.0,-1,-1
313.7827,4.0,3.0,-1,-1
313.8027,4.0,3.0,-1,-1
313.8227,4.0,3.0,-1,-1
313.8427,4.0,3.0,-1,-1
313.8627,4.0,3.0,-1,-1
313.8827,4.0,3.0,-1,-1
313.9027,4.0,3.0,-1,-1
313.9227,4.0,3.0,-1,-1
313.9427,4.0,3.0,-1,-1
313.9627,4.0,3.0,-1,-1
313.9827,4.0,3.0,-1,-1
314.0027,4.0,3.0,-1,-1
314.0227,4.0,3.0,-1,-1
314.0427,4.0,3.0,-1,-1
314.0627,4.0,3.0,-1,-1
314.0827,4.0,3.0,-1,-1
314.1027,4.0,3.0,-1,-1
314.1227,4.0,3.0,-1,-1
314.1427,4.0,3.0,-1,-1
314.1627,4.0,3.0,-1,-1
314.1827,4.0,3.0,-1,-1
314.2027,4.0,3.0,-1,-1
314.2227,4.0,3.0,-1,-1
314.2427,4.0,3.0,-1,-1
314.2627,4.0,3.0,-1,-1
314.2827,4.0,3.0,-1,-1
314.3027,4.0,3.0,-1,-1
314.3227,4.0,3.0,-1,-1
314.3427,4.0,3.0,-1,-1
314.3627,4.0,3.0,-1,-1
314.3827,4.0,3.0,-1,-1
314.4027,4.0,3.0,-1,-1
314.4227,4.0,3.0,-1,-1
314.4427,4.0,3.0,-1,-1
314.4627,4.0,3.0,-1,-1
314.4827,4.0,3.0,-1,-1
314.5027,4.0,3.0,-1,-1
314.5227,4.0,3.0,-1,-1
314.5427,4.0,3.0,-1,-1
314.5627,4.0,3.0,-1,-1
314.5827,4.0,3.0,-1,-1
314.6027,4.0,3.0,-1,-1
314.6227,4.0,3.0,-1,-1
314.6427,4.0,3.0,-1,-1
314.6627,4.0,3.0,-1,-1
314.6827,4.0,3.0,-1,-1
314.7027,4.0,3.0,-1,-1
314.7227,4.0,3.0,-1,-1
314.7427,4.0,3.0,-1,-1
314.7627,4.0,3.0,-1,-1
314.7827,4.0,3.0,-1,-1
314.8027,4.0,3.0,-1,-1
314.8227,4.0,3.0,-1,-1
314.8427,4.0,3.0,-1,-1
314.8627,4.0,3.0,-1,-1
314.8827,4.0,3.0,-1,-1
314.9027,4.0,3.0,-1,-1
314.9227,4.0,3.0,-1,-1
314.9427,4.0,3.0,-1,-1
314.9627,4.0,3.0,-1,-1
314.9827,4.0,3.0,-1,-1
315.0027,4.0,3.0,-1,-1
315.0227,4.0,3.0,-1,-1
315.0427,4.0,3.0,-1,-1
315.0627,4.0,3.0,-1,-1
315.0827,4.0,3.0,-1,-1
315.1027,4.0,3.0,-1,-1
315.1227,4.0,3.0,-1,-1
315.1427,4.0,3.0,-1,-1
315.1627,4.0,3.0,-1,-1
315.1827,4.0,3.0,-1,-1
315.2027,4.0,3.0,-1,-1
315.2227,4.0,3.0,-1,-1
315.2427,4.0,3.0,-1,-1
315.2627,4.0,3.0,-1,-1
315.2827,4.0,3.0,-1,-1
315.3027,4.0,3.0,-1,-1
315.3227,4.0,3.0,-1,-1
315.3427,4.0,3.0,-1,-1
315.3627,4.0,3.0,-1,-1
315.3827,4.0,3.0,-1,-1
315.4027,4.0,3.0,-1,-1
315.4227,4.0,3.0,-1,-1
315.4427,4.0,3.0,-1,-1
315.4627,4.0,3.0,-1,-1
315.4827,4.0,3.0,-1,-1
315.5027,4.0,3.0,-1,-1
315.5227,4.0,3.0,-1,-1
315.5427,4.0,3.0,-1,-1
315.5627,4.0,3.0,-1,-1
315.5827,4.0,3.0,-1,-1
315.6027,4.0,3.0,-1,-1
315.6227,4.0,3.0,-1,-1
315.6427,4.0,3.0,-1,-1
315.6627,4.0,3.0,-1,-1
315.6827,4.0,3.0,-1,-1
315.7027,4.0,3.0,-1,-1
315.7227,4.0,3.0,-1,-1
315.7427,4.0,3.0,-1,-1
315.7627,4.0,3.0,-1,-1
315.7827,4.0,3.0,-1,-1
315.8027,4.0,3.0,-1,-1
315.8227,4.0,3.0,-1,-1
315.8427,4.0,3.0,-1,-1
315.8627,4.0,3.0,-1,-1
315.8827,4.0,3.0,-1,-1
315.9027,4.0,3.0,-1,-1
315.9227,4.0,3.0,-1,-1
315.9427,4.0,3.0,-1,-1
315.9627,4.0,3.0,-1,-1
315.9827,4.0,3.0,-1,-1
316.0027,4.0,3.0,-1,-1
316.0227,4.0,3.0,-1,-1
316.0427,4.0,3.0,-1,-1
316.0627,4.0,3.0,-1,-1
316.0827,4.0,3.0,-1,-1
316.1027,4.0,3.0,-1,-1
316.1227,4.0,3.0,-1,-1
316.1427,4.0,3.0,-1,-1
316.1627,4.0,3.0,-1,-1
316.1827,4.0,3.0,-1,-1
316.2027,4.0,3.0,-1,-1
316.2227,4.0,3.0,-1,-1
316.2427,4.0,3.0,-1,-1
316.2627,4.0,3.0,-1,-1
316.2827,4.0,3.0,-1,-1
316.3027,4.0,3.0,-1,-1
316.3227,4.0,3.0,-1,-1
316.3427,4.0,3.0,-1,-1
316.3627,4.0,3.0,-1,-1
316.3827,4.0,3.0,-1,-1
316.4027,4.0,3.0,-1,-1
316.4227,4.0,3.0,-1,-1
316.4427,4.0,3.0,-1,-1
316.4627,4.0,3.0,-1,-1
316.4827,4.0,3.0,-1,-1
316.5027,4.0,3.0,-1,-1
316.5227,4.0,3.0,-1,-1
316.5427,4.0,3.0,-1,-1
316.5627,4.0,3.0,-1,-1
316.5827,4.0,3.0,-1,-1
316.6027,4.0,3.0,-1,-1
316.6227,4.0,3.0,-1,-1
316.6427,4.0,3.0,-1,-1
316.6627,4.0,3.0,-1,-1
316.6827,4.0,3.0,-1,-1
316.7027,4.0,3.0,-1,-1
316.7227,4.0,3.0,-1,-1
316.7427,4.0,3.0,-1,-1
316.7627,4.0,3.0,-1,-1
316.7827,4.0,3.0,-1,-1
316.8027,4.0,3.0,-1,-1
316.8227,4.0,3.0,-1,-1
316.8427,4.0,3.0,-1,-1
316.8627,4.0,3.0,-1,-1
316.8827,4.0,3.0,-1,-1
316.9027,4.0,3.0,-1,-1
316.9227,4.0,3.0,-1,-1
316.9427,4.0,3.0,-1,-1
316.9627,4.0,3.0,-1,-1
316.9827,4.0,3.0,-1,-1
317.0027,4.0,3.0,-1,-1
317.0227,4.0,3.0,-1,-1
317.0427,4.0,3.0,-1,-1
317.0627,4.0,3.0,-1,-1
317.0827,4.0,3.0,-1,-1
317.1027,4.0,3.0,-1,-1
317.1227,4.0,3.0,-1,-1
317.1427,4.0,3.0,-1,-1
317.1627,4.0,3.0,-1,-1
317.1827,4.0,3.0,-1,-1
317.2027,4.0,3.0,-1,-1
317.2227,4.0,3.0,-1,-1
317.2427,4.0,3.0,-1,-1
317.2627,4.0,3.0,-1,-1
317.2827,4.0,3.0,-1,-1
317.3027,4.0,3.0,-1,-1
317.3227,4.0,3.0,-1,-1
317.3427,4.0,3.0,-1,-1
317.3627,4.0,3.0,-1,-1
317.3827,4.0,3.0,-1,-1
317.4027,4.0,3.0,-1,-1
317.4227,4.0,3.0,-1,-1
317.4427,4.0,3.0,-1,-1
317.4627,4.0,3.0,-1,-1
317.4827,4.0,3.0,-1,-1
317.5027,4.0,3.0,-1,-1
317.5227,4.0,3.0,-1,-1
317.5427,4.0,3.0,-1,-1
317.5627,4.0,3.0,-1,-1
317.5827,4.0,3.0,-1,-1
317.6027,4.0,3.0,-1,-1
317.6227,4.0,3.0,-1,-1
317.6427,4.0,3.0,-1,-1
317.6627,4.0,3.0,-1,-1
317.6827,4.0,3.0,-1,-1
317.7027,4.0,3.0,-1,-1
317.7227,4.0,3.0,-1,-1
317.7427,4.0,3.0,-1,-1
317.7627,4.0,3.0,-1,-1
317.7827,4.0,3.0,-1,-1
317.8027,4.0,3.0,-1,-1
317.8227,4.0,3.0,-1,-1
317.8427,4.0,3.0,-1,-1
317.8627,4.0,3.0,-1,-1
317.8827,4.0,3.0,-1,-1
317.9027,4.0,3.0,-1,-1
317.9227,4.0,3.0,-1,-1
317.9427,4.0,3.0,-1,-1
317.9627,4.0,3.0,-1,-1
317.9827,4.0,3.0,-1,-1
318.0027,4.0,3.0,-1,-1
318.0227,4.0,3.0,-1,-1
318.0427,4.0,3.0,-1,-1
318.0627,4.0,3.0,-1,-1
318.0827,4.0,3.0,-1,-1
318.1027,4.0,3.0,-1,-1
318.1227,4.0,3.0,-1,-1
318.1427,4.0,3.0,-1,-1
318.1627,4.0,3.0,-1,-1
318.1827,4.0,3.0,-1,-1
318.2027,4.0,3.0,-1,-1
318.2227,4.0,3.0,-1,-1
318.2427,4.0,3.0,-1,-1
318.2627,4.0,3.0,-1,-1
318.2827,4.0,3.0,-1,-1
318.3027,4.0,3.0,-1,-1
318.3227,4.0,3.0,-1,-1
318.3427,4.0,3.0,-1,-1
318.3627,4.0,3.0,-1,-1
318.3827,4.0,3.0,-1,-1
318.4027,4.0,3.0,-1,-1
318.4227,4.0,3.0,-1,-1
318.4427,4.0,3.0,-1,-1
318.4627,4.0,3.0,-1,-1
318.4827,4.0,3.0,-1,-1
318.5027,4.0,3.0,-1,-1
318.5227,4.0,3.0,-1,-1
318.5427,4.0,3.0,-1,-1
318.5627,4.0,3.0,-1,-1
318.5827,4.0,3.0,-1,-1
318.6027,4.0,3.0,-1,-1
318.6227,4.0,3.0,-1,-1
318.6427,4.0,3.0,-1,-1
318.6627,4.0,3.0,-1,-1
318.6827,4.0,3.0,-1,-1
318.7027,4.0,3.0,-1,-1
318.7227,4.0,3.0,-1,-1
318.7427,4.0,3.0,-1,-1
318.7627,4.0,3.0,-1,-1
318.7827,4.0,3.0,-1,-1
318.8027,4.0,3.0,-1,-1
318.8227,4.0,3.0,-1,-1
318.8427,4.0,3.0,-1,-1
318.8627,4.0,3.0,-1,-1
318.8827,4.0,3.0,-1,-1
318.9027,4.0,3.0,-1,-1
318.9227,4.0,3.0,-1,-1
318.9427,4.0,3.0,-1,-1
318.9627,4.0,3.0,-1,-1
318.9827,4.0,3.0,-1,-1
319.0027,4.0,3.0,-1,-1
319.0227,4.0,3.0,-1,-1
319.0427,4.0,3.0,-1,-1
319.0627,4.0,3.0,-1,-1
319.0827,4.0,3.0,-1,-1
319.1027,4.0,3.0,-1,-1
319.1227,4.0,3.0,-1,-1
319.1427,4.0,3.0,-1,-1
319.1627,4.0,3.0,-1,-1
319.1827,4.0,3.0,-1,-1
319.2027,4.0,3.0,-1,-1
319.2227,4.0,3.0,-1,-1
319.2427,4.0,3.0,-1,-1
319.2627,4.0,3.0,-1,-1
319.2827,4.0,3.0,-1,-1
319.3027,4.0,3.0,-1,-1
319.3227,4.0,3.0,-1,-1
319.3427,4.0,3.0,-1,-1
319.3627,4.0,3.0,-1,-1
319.3827,4.0,3.0,-1,-1
319.4027,4.0,3.0,-1,-1
319.4227,4.0,3.0,-1,-1
319.4427,4.0,3.0,-1,-1
319.4627,4.0,3.0,-1,-1
319.4827,4.0,3.0,-1,-1
