time,TrialID,numTargs,HA0_engagement,HA1_engagement
296.0208,2.0,4.0,-1,-1
296.0408,2.0,4.0,-1,-1
296.0608,2.0,4.0,-1,-1
296.0808,2.0,4.0,-1,-1
296.1008,2.0,4.0,-1,-1
296.1208,2.0,4.0,-1,-1
296.1408,2.0,4.0,-1,-1
296.1608,2.0,4.0,-1,-1
296.1808,2.0,4.0,-1,-1
296.2008,2.0,4.0,-1,-1
296.2208,2.0,4.0,-1,-1
296.2408,2.0,4.0,-1,-1
296.2608,2.0,4.0,-1,-1
296.2808,2.0,4.0,-1,-1
296.3008,2.0,4.0,-1,-1
296.3208,2.0,4.0,-1,-1
296.3408,2.0,4.0,-1,-1
296.3608,2.0,4.0,-1,-1
296.3808,2.0,4.0,-1,-1
296.4008,2.0,4.0,-1,-1
296.4208,2.0,4.0,-1,-1
296.4408,2.0,4.0,-1,-1
296.4608,2.0,4.0,-1,-1
296.4808,2.0,4.0,-1,-1
296.5008,2.0,4.0,-1,-1
296.5208,2.0,4.0,-1,-1
296.5408,2.0,4.0,-1,-1
296.5608,2.0,4.0,-1,-1
296.5808,2.0,4.0,-1,-1
296.6008,2.0,4.0,-1,-1
296.6208,2.0,4.0,-1,-1
296.6408,2.0,4.0,-1,-1
296.6608,2.0,4.0,-1,-1
296.6808,2.0,4.0,-1,-1
296.7008,2.0,4.0,-1,-1
296.7208,2.0,4.0,-1,-1
296.7408,2.0,4.0,-1,-1
296.7608,2.0,4.0,-1,-1
296.7808,2.0,4.0,-1,-1
296.8008,2.0,4.0,-1,-1
296.8208,2.0,4.0,-1,-1
296.8408,2.0,4.0,-1,-1
296.8608,2.0,4.0,-1,-1
296.8808,2.0,4.0,-1,-1
296.9008,2.0,4.0,-1,-1
296.9208,2.0,4.0,-1,-1
296.9408,2.0,4.0,-1,-1
296.9608,2.0,4.0,-1,-1
296.9808,2.0,4.0,-1,-1
297.0008,2.0,4.0,-1,-1
297.0208,2.0,4.0,-1,-1
297.0408,2.0,4.0,-1,-1
297.0608,2.0,4.0,-1,-1
297.0808,2.0,4.0,-1,-1
297.1008,2.0,4.0,-1,-1
297.1208,2.0,4.0,-1,-1
297.1408,2.0,4.0,-1,-1
297.1608,2.0,4.0,-1,-1
297.1808,2.0,4.0,-1,-1
297.2008,2.0,4.0,-1,-1
297.2208,2.0,4.0,-1,-1
297.2408,2.0,4.0,-1,-1
297.2608,2.0,4.0,-1,-1
297.2808,2.0,4.0,-1,-1
297.3008,2.0,4.0,-1,-1
297.3208,2.0,4.0,-1,-1
297.3408,2.0,4.0,-1,-1
297.3608,2.0,4.0,-1,-1
297.3808,2.0,4.0,-1,-1
297.4008,2.0,4.0,-1,-1
297.4208,2.0,4.0,-1,-1
297.4408,2.0,4.0,-1,-1
297.4608,2.0,4.0,-1,-1
297.4808,2.0,4.0,-1,-1
297.5008,2.0,4.0,-1,-1
297.5208,2.0,4.0,-1,-1
297.5408,2.0,4.0,-1,-1
297.5608,2.0,4.0,-1,-1
297.5808,2.0,4.0,-1,-1
297.6008,2.0,4.0,-1,-1
297.6208,2.0,4.0,-1,-1
297.6408,2.0,4.0,-1,-1
297.6608,2.0,4.0,-1,-1
297.6808,2.0,4.0,-1,-1
297.7008,2.0,4.0,-1,-1
297.7208,2.0,4.0,-1,-1
297.7408,2.0,4.0,-1,-1
297.7608,2.0,4.0,-1,-1
297.7808,2.0,4.0,-1,-1
297.8008,2.0,4.0,-1,-1
297.8208,2.0,4.0,-1,-1
297.8408,2.0,4.0,-1,-1
297.8608,2.0,4.0,-1,-1
297.8808,2.0,4.0,-1,-1
297.9008,2.0,4.0,-1,-1
297.9208,2.0,4.0,-1,-1
297.9408,2.0,4.0,-1,-1
297.9608,2.0,4.0,-1,-1
297.9808,2.0,4.0,-1,-1
298.0008,2.0,4.0,-1,-1
298.0208,2.0,4.0,-1,-1
298.0408,2.0,4.0,-1,-1
298.0608,2.0,4.0,-1,-1
298.0808,2.0,4.0,-1,-1
298.1008,2.0,4.0,-1,-1
298.1208,2.0,4.0,-1,-1
298.1408,2.0,4.0,-1,-1
298.1608,2.0,4.0,-1,-1
298.1808,2.0,4.0,-1,-1
298.2008,2.0,4.0,-1,-1
