time,TrialID,numTargs,HA0_engagement,HA1_engagement
790.1616,9.0,5.0,-1,-1
790.1816,9.0,5.0,-1,-1
790.2017,9.0,5.0,-1,-1
790.2216,9.0,5.0,-1,-1
790.2416,9.0,5.0,-1,-1
790.2617,9.0,5.0,-1,-1
790.2816,9.0,5.0,-1,-1
790.3016,9.0,5.0,-1,-1
790.3217,9.0,5.0,-1,-1
790.3416,9.0,5.0,-1,-1
790.3616,9.0,5.0,-1,-1
790.3817,9.0,5.0,-1,-1
790.4016,9.0,5.0,-1,-1
790.4216,9.0,5.0,-1,-1
790.4417,9.0,5.0,-1,-1
790.4616,9.0,5.0,-1,-1
790.4816,9.0,5.0,-1,-1
790.5016,9.0,5.0,-1,-1
790.5216,9.0,5.0,-1,-1
790.5416,9.0,5.0,-1,-1
790.5616,9.0,5.0,-1,-1
790.5816,9.0,5.0,-1,-1
790.6016,9.0,5.0,-1,-1
790.6216,9.0,5.0,-1,-1
790.6416,9.0,5.0,-1,-1
790.6616,9.0,5.0,-1,-1
790.6816,9.0,5.0,-1,-1
790.7017,9.0,5.0,-1,-1
790.7216,9.0,5.0,-1,-1
790.7416,9.0,5.0,-1,-1
790.7617,9.0,5.0,-1,-1
790.7816,9.0,5.0,-1,-1
790.8016,9.0,5.0,-1,-1
790.8217,9.0,5.0,-1,-1
790.8416,9.0,5.0,-1,-1
790.8616,9.0,5.0,-1,-1
790.8817,9.0,5.0,-1,-1
790.9016,9.0,5.0,-1,-1
790.9216,9.0,5.0,-1,-1
790.9417,9.0,5.0,-1,-1
790.9616,9.0,5.0,-1,-1
790.9816,9.0,5.0,-1,-1
791.0016,9.0,5.0,-1,-1
791.0216,9.0,5.0,-1,-1
791.0416,9.0,5.0,-1,-1
791.0616,9.0,5.0,-1,-1
791.0816,9.0,5.0,-1,-1
791.1016,9.0,5.0,-1,-1
791.1216,9.0,5.0,-1,-1
791.1416,9.0,5.0,-1,-1
791.1616,9.0,5.0,-1,-1
791.1816,9.0,5.0,-1,-1
791.2017,9.0,5.0,-1,-1
791.2216,9.0,5.0,-1,-1
791.2416,9.0,5.0,-1,-1
791.2617,9.0,5.0,-1,-1
791.2816,9.0,5.0,-1,-1
791.3016,9.0,5.0,-1,-1
791.3217,9.0,5.0,-1,-1
791.3416,9.0,5.0,-1,-1
791.3616,9.0,5.0,-1,-1
791.3817,9.0,5.0,-1,-1
791.4016,9.0,5.0,-1,-1
791.4216,9.0,5.0,-1,-1
791.4417,9.0,5.0,-1,-1
791.4616,9.0,5.0,-1,-1
791.4816,9.0,5.0,-1,-1
791.5016,9.0,5.0,-1,-1
791.5216,9.0,5.0,-1,-1
791.5416,9.0,5.0,-1,-1
791.5616,9.0,5.0,-1,-1
791.5816,9.0,5.0,-1,-1
791.6016,9.0,5.0,-1,-1
791.6216,9.0,5.0,-1,-1
791.6416,9.0,5.0,-1,-1
791.6616,9.0,5.0,-1,-1
791.6816,9.0,5.0,-1,-1
791.7017,9.0,5.0,-1,-1
791.7216,9.0,5.0,-1,-1
791.7416,9.0,5.0,-1,-1
791.7617,9.0,5.0,-1,-1
791.7816,9.0,5.0,-1,-1
791.8016,9.0,5.0,-1,-1
791.8217,9.0,5.0,-1,-1
791.8416,9.0,5.0,-1,-1
791.8616,9.0,5.0,-1,-1
791.8817,9.0,5.0,-1,-1
791.9016,9.0,5.0,-1,-1
791.9216,9.0,5.0,-1,-1
791.9417,9.0,5.0,-1,-1
791.9616,9.0,5.0,-1,-1
791.9816,9.0,5.0,-1,-1
792.0016,9.0,5.0,-1,-1
792.0216,9.0,5.0,-1,-1
792.0416,9.0,5.0,-1,-1
792.0616,9.0,5.0,-1,-1
792.0816,9.0,5.0,-1,-1
792.1016,9.0,5.0,-1,-1
792.1216,9.0,5.0,-1,-1
792.1416,9.0,5.0,-1,-1
792.1616,9.0,5.0,-1,-1
