time,TrialID,numTargs,HA0_engagement,HA1_engagement
429.4616,16.0,3.0,-1,-1
429.4816,16.0,3.0,-1,-1
429.5016,16.0,3.0,-1,-1
429.5216,16.0,3.0,-1,-1
429.5416,16.0,3.0,-1,-1
429.5616,16.0,3.0,-1,-1
429.5816,16.0,3.0,-1,-1
429.6016,16.0,3.0,-1,-1
429.6216,16.0,3.0,-1,-1
429.6416,16.0,3.0,-1,-1
429.6617,16.0,3.0,-1,-1
429.6816,16.0,3.0,-1,-1
429.7016,16.0,3.0,-1,-1
429.7216,16.0,3.0,-1,-1
429.7416,16.0,3.0,-1,-1
429.7616,16.0,3.0,-1,-1
429.7816,16.0,3.0,-1,-1
429.8016,16.0,3.0,-1,-1
429.8216,16.0,3.0,-1,-1
429.8416,16.0,3.0,-1,-1
429.8616,16.0,3.0,-1,-1
429.8817,16.0,3.0,-1,-1
429.9016,16.0,3.0,-1,-1
429.9216,16.0,3.0,-1,-1
429.9417,16.0,3.0,-1,-1
429.9616,16.0,3.0,-1,-1
429.9816,16.0,3.0,-1,-1
430.0016,16.0,3.0,-1,-1
430.0216,16.0,3.0,-1,-1
430.0416,16.0,3.0,-1,-1
430.0616,16.0,3.0,-1,-1
430.0816,16.0,3.0,-1,-1
430.1016,16.0,3.0,-1,-1
430.1216,16.0,3.0,-1,-1
430.1416,16.0,3.0,-1,-1
430.1617,16.0,3.0,-1,-1
430.1816,16.0,3.0,-1,-1
430.2016,16.0,3.0,-1,-1
430.2216,16.0,3.0,-1,-1
430.2416,16.0,3.0,-1,-1
430.2616,16.0,3.0,-1,-1
430.2816,16.0,3.0,-1,-1
430.3016,16.0,3.0,-1,-1
430.3216,16.0,3.0,-1,-1
430.3416,16.0,3.0,-1,-1
430.3616,16.0,3.0,-1,-1
430.3817,16.0,3.0,-1,-1
430.4016,16.0,3.0,-1,-1
430.4216,16.0,3.0,-1,-1
430.4417,16.0,3.0,-1,-1
430.4616,16.0,3.0,-1,-1
430.4816,16.0,3.0,-1,-1
430.5016,16.0,3.0,-1,-1
430.5216,16.0,3.0,-1,-1
430.5416,16.0,3.0,-1,-1
430.5616,16.0,3.0,-1,-1
430.5816,16.0,3.0,-1,-1
430.6016,16.0,3.0,-1,-1
430.6216,16.0,3.0,-1,-1
430.6416,16.0,3.0,-1,-1
430.6617,16.0,3.0,-1,-1
430.6816,16.0,3.0,-1,-1
430.7016,16.0,3.0,-1,-1
430.7216,16.0,3.0,-1,-1
430.7416,16.0,3.0,-1,-1
430.7616,16.0,3.0,-1,-1
430.7816,16.0,3.0,-1,-1
430.8016,16.0,3.0,-1,-1
430.8216,16.0,3.0,-1,-1
430.8416,16.0,3.0,-1,-1
430.8616,16.0,3.0,-1,-1
430.8817,16.0,3.0,-1,-1
430.9016,16.0,3.0,-1,-1
430.9216,16.0,3.0,-1,-1
430.9417,16.0,3.0,-1,-1
430.9616,16.0,3.0,-1,-1
430.9816,16.0,3.0,-1,-1
431.0016,16.0,3.0,-1,-1
431.0216,16.0,3.0,-1,-1
431.0416,16.0,3.0,-1,-1
431.0616,16.0,3.0,-1,-1
431.0816,16.0,3.0,-1,-1
431.1016,16.0,3.0,-1,-1
431.1216,16.0,3.0,-1,-1
431.1416,16.0,3.0,-1,-1
431.1617,16.0,3.0,-1,-1
431.1816,16.0,3.0,-1,-1
431.2016,16.0,3.0,-1,-1
431.2216,16.0,3.0,-1,-1
431.2416,16.0,3.0,-1,-1
431.2616,16.0,3.0,-1,-1
431.2816,16.0,3.0,-1,-1
431.3016,16.0,3.0,-1,-1
431.3216,16.0,3.0,-1,-1
431.3416,16.0,3.0,-1,-1
431.3616,16.0,3.0,-1,-1
431.3817,16.0,3.0,-1,-1
431.4016,16.0,3.0,-1,-1
431.4216,16.0,3.0,-1,-1
431.4417,16.0,3.0,-1,-1
431.4616,16.0,3.0,-1,-1
431.4816,16.0,3.0,-1,-1
431.5016,16.0,3.0,-1,-1
431.5216,16.0,3.0,-1,-1
