p0x,p0y,p0z,p0xq,p0yq,p0zq,p0wq,t0x,t0y,t0z,t0xq,t0yq,t0zq,t0wq,t0xv,t0yv,t0zv,t0ct,t0run,cZxpos,cZy,cZz,time
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.612017E-22,False,False,0,0.2,0,3.064609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.608057E-22,False,False,0,0.2,0,3.08461
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.593774E-22,False,False,0,0.2,0,3.104609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.579548E-22,False,False,0,0.2,0,3.124609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.565896E-22,False,False,0,0.2,0,3.144609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.551782E-22,False,False,0,0.2,0,3.164609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.537724E-22,False,False,0,0.2,0,3.184609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.523722E-22,False,False,0,0.2,0,3.204609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.509777E-22,False,False,0,0.2,0,3.224609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.495887E-22,False,False,0,0.2,0,3.244609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.482052E-22,False,False,0,0.2,0,3.264609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.467756E-22,False,False,0,0.2,0,3.284609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.454551E-22,False,False,0,0.2,0,3.304609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.440882E-22,False,False,0,0.2,0,3.32461
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.427268E-22,False,False,0,0.2,0,3.344609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.413708E-22,False,False,0,0.2,0,3.364609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.400202E-22,False,False,0,0.2,0,3.384609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.385975E-22,False,False,0,0.2,0,3.404609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.373097E-22,False,False,0,0.2,0,3.424609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,6.359754E-22,False,False,0,0.2,0,3.444609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,3.464609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,3.484609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,3.504609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,3.524609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,3.544609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,3.564609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,3.58461
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,3.604609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,3.624609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,3.644609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,3.664609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,3.684609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,3.704609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,3.724609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,3.744609
