p0x,p0y,p0z,p0xq,p0yq,p0zq,p0wq,t0x,t0y,t0z,t0xq,t0yq,t0zq,t0wq,t0xv,t0yv,t0zv,t0ct,t0run,cZxpos,cZy,cZz,time
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.612017E-22,False,False,0,0.2,0,2.763052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.608057E-22,False,False,0,0.2,0,2.783052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.594033E-22,False,False,0,0.2,0,2.803052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.580064E-22,False,False,0,0.2,0,2.823052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.56641E-22,False,False,0,0.2,0,2.843052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.552293E-22,False,False,0,0.2,0,2.863052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.53875E-22,False,False,0,0.2,0,2.883052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.524745E-22,False,False,0,0.2,0,2.903052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.511312E-22,False,False,0,0.2,0,2.923052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.497416E-22,False,False,0,0.2,0,2.943052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.483575E-22,False,False,0,0.2,0,2.963052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.46979E-22,False,False,0,0.2,0,2.983052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.455543E-22,False,False,0,0.2,0,3.003052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.442387E-22,False,False,0,0.2,0,3.023052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.428767E-22,False,False,0,0.2,0,3.043052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.415201E-22,False,False,0,0.2,0,3.063052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.401689E-22,False,False,0,0.2,0,3.083052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.387714E-22,False,False,0,0.2,0,3.103052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.37483E-22,False,False,0,0.2,0,3.123052
29.81538,1,10.64219,0,0.1740535,0,0.9847362,-17.33407,0.5,11.04197,0,0,0,1,0,0,6.361221E-22,False,False,0,0.2,0,3.143052
29.81538,1,10.64219,0,0.1731941,0,0.9848877,-17.33407,0.5,11.04197,0,0,0,1,0,0,0,False,False,0,0.2,0,3.163052
29.81538,1,10.64219,0,0.1723346,0,0.9850385,-17.33407,0.5,11.04197,0,0,0,1,0,0,0,False,False,0,0.2,0,3.183052
29.81538,1,10.64219,0,0.171045,0,0.9852633,-17.33407,0.5,11.04197,0,0,0,1,0,0,0,False,False,0,0.2,0,3.203052
29.81538,1,10.64219,0,0.1667444,0,0.9860002,-17.33407,0.5,11.04197,0,0,0,1,0,0,0,False,False,0,0.2,0,3.223052
