p0x,p0y,p0z,p0xq,p0yq,p0zq,p0wq,t0x,t0y,t0z,t0xq,t0yq,t0zq,t0wq,t0xv,t0yv,t0zv,t0ct,t0run,t1x,t1y,t1z,t1xq,t1yq,t1zq,t1wq,t1xv,t1yv,t1zv,t1ct,t1run,t2x,t2y,t2z,t2xq,t2yq,t2zq,t2wq,t2xv,t2yv,t2zv,t2ct,t2run,cZxpos,cZy,cZz,time
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,6.612017E-22,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,6.612017E-22,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,6.608521E-22,False,False,0,0.2,0,70.13541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,6.608057E-22,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,6.608057E-22,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,6.604699E-22,False,False,0,0.2,0,70.15541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,6.593774E-22,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,6.594033E-22,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,6.590552E-22,False,False,0,0.2,0,70.17542
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,6.579548E-22,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,6.580064E-22,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,6.576463E-22,False,False,0,0.2,0,70.19541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,6.565896E-22,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,6.56641E-22,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,6.562429E-22,False,False,0,0.2,0,70.21542
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,6.551782E-22,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,6.552293E-22,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,6.547935E-22,False,False,0,0.2,0,70.23541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,6.537724E-22,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,6.53875E-22,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,6.534015E-22,False,False,0,0.2,0,70.25541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,6.523722E-22,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,6.524745E-22,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,6.520152E-22,False,False,0,0.2,0,70.27541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,6.509777E-22,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,6.511312E-22,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,6.506343E-22,False,False,0,0.2,0,70.29541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,6.495887E-22,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,6.497416E-22,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,6.492073E-22,False,False,0,0.2,0,70.31541
