p0x,p0y,p0z,p0xq,p0yq,p0zq,p0wq,t0x,t0y,t0z,t0xq,t0yq,t0zq,t0wq,t0xv,t0yv,t0zv,t0ct,t0run,t1x,t1y,t1z,t1xq,t1yq,t1zq,t1wq,t1xv,t1yv,t1zv,t1ct,t1run,t2x,t2y,t2z,t2xq,t2yq,t2zq,t2wq,t2xv,t2yv,t2zv,t2ct,t2run,cZxpos,cZy,cZz,time
7.824234,1,35.35789,0,0.9965627,0,0.08284179,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.612017E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.612017E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.608521E-22,False,False,0,0.2,0,3.515414
7.824234,1,35.35789,0,0.9965627,0,0.08284179,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.608057E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.608057E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.604957E-22,False,False,0,0.2,0,3.535414
7.824234,1,35.35789,0,0.9965627,0,0.08284179,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.594033E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.593774E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.59081E-22,False,False,0,0.2,0,3.555414
7.824234,1,35.35789,0,0.9965627,0,0.08284179,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.580064E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.579548E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.576719E-22,False,False,0,0.2,0,3.575414
7.824234,1,35.35789,0,0.9965627,0,0.08284179,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.56641E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.565896E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.562168E-22,False,False,0,0.2,0,3.595414
7.824234,1,35.35789,0,0.9965627,0,0.08284179,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.552293E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.551782E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.54845E-22,False,False,0,0.2,0,3.615414
7.824234,1,35.35789,0,0.9965627,0,0.08284179,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.53875E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.537724E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.534528E-22,False,False,0,0.2,0,3.635414
7.824234,1,35.35789,0,0.9965627,0,0.08284179,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.524745E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.523722E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.520663E-22,False,False,0,0.2,0,3.655414
7.824234,1,35.35789,0,0.9965627,0,0.08284179,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.511312E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.509777E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.506594E-22,False,False,0,0.2,0,3.675414
7.824234,1,35.35789,0,0.9965627,0,0.08284179,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.497416E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.495887E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.49284E-22,False,False,0,0.2,0,3.695414
7.824234,1,35.35789,0,0.9965627,0,0.08284179,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.483575E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.482052E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.478882E-22,False,False,0,0.2,0,3.715414
7.824234,1,35.35789,0,0.9965627,0,0.08284179,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.46979E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.467756E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.46498E-22,False,False,0,0.2,0,3.735414
7.824234,1,35.35789,0,0.9965627,0,0.08284179,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.455543E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.454551E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.450876E-22,False,False,0,0.2,0,3.755414
7.824234,1,35.35789,0,0.9965627,0,0.08284179,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.442387E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.440882E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.437345E-22,False,False,0,0.2,0,3.775414
7.824234,1,35.35789,0,0.9965627,0,0.08284179,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.428767E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.427268E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.423868E-22,False,False,0,0.2,0,3.795414
7.824234,1,35.35789,0,0.9965265,0,0.08327661,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.415201E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.413708E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.410186E-22,False,False,0,0.2,0,3.815414
7.824234,1,35.35789,0,0.9964535,0,0.08414622,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.401689E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.400202E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.396559E-22,False,False,0,0.2,0,3.835414
7.824234,1,35.35789,0,0.9963797,0,0.08501576,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.387714E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.385975E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.382987E-22,False,False,0,0.2,0,3.855414
7.824234,1,35.35789,0,0.9961153,0,0.08805863,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.37483E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.373097E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.36921E-22,False,False,0,0.2,0,3.875414
7.824234,1,35.35789,0,0.9959992,0,0.08936246,-5.003658,0.5,15.84057,0,0,0,1,0,0,6.361221E-22,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,6.359754E-22,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,6.356006E-22,False,False,0,0.2,0,3.895414
7.824234,1,35.35789,0,0.9958417,0,0.09110067,-5.003658,0.5,15.84057,0,0,0,1,0,0,0,False,False,-13.38424,0.5,-13.42868,0,0,0,1,0,0,0,False,False,32.42033,0.5,-17.73051,0,0,0,1,0,0,0,False,False,0,0.2,0,3.915414
